Title,Address,Link,Job Description
Data Scientist,"Brussels, Brussels Region, Belgium",https://be.linkedin.com/jobs/view/data-scientist-at-agilytic-3863809726?position=1&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=GsV4F34m%2BCYP8PIaTd934g%3D%3D&trk=public_jobs_jserp-result_search-card,"Are you looking to make a measurable impact for your clients with data science?  Ready to expand your skillset in different tools, methodologies, and across various industries?  Do you have an innate passion for business and entrepreneurial sense while having an interest in the technical aspects of the job?  🎯 What is your mission?  Help innovative companies thrive in turning their objectives into results, through smarter use of data.  ✅ More concretely, what will you do day-to-day?  As a Data Scientist, you will play a vital role in the end-to-end delivery of our projects.  Therefore, you will work closely with stakeholders to:  Prioritize business requirements Manage data collection Analyze results Provide reports Model data Interpret trends and patterns Communicate the results and next steps effectively with clients  Our assignments include:  Data audit Data preparation Descriptive analysis Modeling Presenting the results  Senior Data Scientists supervise and coach junior Data Scientists in delivering their projects and on internal tasks. This guidance is to help junior Data Scientists acquire the business and technical skills to manage their projects quickly.  Requirements  👤 Do you recognize yourself?  🎓 Your Background  You have a master's in Management/Economics, Engineering, Mathematics, Physics, Biology, or similar - There is no standard study background for data You are fluent in English and either in Dutch OR French   💼 Your Professional Skills  You have good knowledge and demonstrable experience with ETL and statistical packages (SAS, SPSS, R, Python, Spark). Knowledge of programming languages such as Javascript, Spark, S, C is a plus. You have technical expertise in data preparation, data models, data mining, and segmentation   🤓 Your Personal Skills  You have strong analytical skills to collect, organize, analyze, and interpret large amounts of data to underline the relevant information regarding a specific business objective You have a problem-solving mindset; you take a pragmatic approach regarding data science and seek out the simple solution   ⚠️ Must Have  You are eligible to work in Belgium and the European Union (please be aware that we do not offer relocation support)   🤗 You will be a great fit if -  You want to be among the first employees to help us shape our organization and grow in the future. You have a natural care about work quality, showing a professional attitude and passion for service. You are proactive, autonomous, and like to take initiative You can confidently interact and communicate at all levels, from the front-line staff to the executive team, with data experts and non-experts alike. You are curious about new techniques and tools and strive always to keep learning   🙅‍♀️ Some signs this may not be the right fit -  If you don't like to interact with customers or do presentations from time to time. All our Data Scientists are client-facing. If you are not comfortable working at the client's premises (on average 2-3 days a week) and from our offices in Brussels (on average 1-2 days a week) If you don't have an entrepreneurial mindset and aren't ready to go the extra mile to deliver quality work or contribute to an organization's growth   Benefits  💜 Working at Agilytic  We aim at creating a work environment that allows you to do exceptional work, grow your skillset and, most importantly, be happy while doing it.  You may work on assignments anywhere in Belgium and neighboring countries like Luxembourg, France, the Netherlands, and the UK. You can expect to interact with IT/data specialists and business executives (marketing, process, customer care).  We believe that data is a means to an end and not an end in itself. We don't use cutting-edge techniques when not suited to the problem we need to solve. We adapt to what the client truly needs, even if it might look less appealing from a technical perspective. For instance, we won't train a neural network predicting marketing performance based on 1000 variables if a simple dashboard showing marketing efficiency across a few dimensions answers the customer's question. All our missions are about data, and so far, approximately 50% of them haven't required any machine learning.  Salary And Benefits  💰 Competitive remuneration package: We offer a competitive remuneration package, a cafeteria plan in which you can allocate your variable remuneration to your preferred advantages (extra days off, electronics... and cash of course) 🏋️ Training roadmap: We will draft together a training roadmap, taking into consideration our internal competencies as well as your interests 🤝 Supportive structure and transparency: What we don't have in scale (yet), we'll make it up with flexibility, support, and transparency. We will be there for you every step of the way, with individual coaching and career roadmapping 🧰 Modern tools: Tools are a means to an end. We want them to help you do your best work, not become a bottleneck. That's why you can expect up-to-date hardware and software tools so that you (hopefully) never have to swear at your computer 🥂 Oh, and a little bit of fun too: We take our work very seriously, but we're not afraid to laugh at ourselves. Life is too short Show less Seniority level Associate Employment type Full-time Job function Consulting Industries Non-profit Organizations and Primary and Secondary Education Referrals increase your chances of interviewing at Agilytic by 2x See who you know"
Junior Data Scientist,"Ixelles, Belgium",https://be.linkedin.com/jobs/view/junior-data-scientist-at-pauwels-consulting-3921457508?position=2&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=MohjI0699%2BTjq5ao0F1UjQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Direct message the job poster from Pauwels Consulting John Paraan John Paraan Talent Acquisition Specialist Life Sciences For one of the leading Pharmaceutical company in Brussels, we are looking for a Junior Data Scientist!  As a Data Scientist, you will play a key role in developing and implementing advanced data-driven solutions to address business challenges. You will collaborate closely with cross-functional teams to analyze large datasets, derive actionable insights, and build predictive models using machine learning techniques. Additionally, you will have the opportunity to contribute to research and development projects in Generative AI and prompt engineering.  Key Responsibilities Conduct exploratory data analysis to identify trends, patterns, and anomalies in large datasets. Develop machine learning models for predictive analytics, classification, and clustering tasks. Collaborate with engineers and software developers to deploy machine learning models into production environments. Research and implement state-of-the-art techniques in Generative AI and prompt engineering. Work closely with stakeholders to understand business requirements and translate them into data science solutions. Communicate findings and insights to non-technical stakeholders through clear and compelling visualizations and presentations.  Requirements Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field. Proven experience as a Data Scientist or similar role, with a strong background in machine learning and statistical analysis. Proficiency in programming languages such as Python, R, or Scala. Experience with machine learning frameworks/libraries such as TensorFlow, PyTorch, or scikit-learn. Familiarity with techniques in Generative AI, including GANs, VAEs, and autoregressive models. Knowledge of prompt engineering techniques for natural language processing tasks. Strong problem-solving skills and the ability to work independently and collaboratively in a fast-paced environment. Excellent communication and interpersonal skills.  Preferred Qualifications PhD in Computer Science, Statistics, Mathematics, or a related field. Experience working with large-scale datasets and distributed computing frameworks (e.g., Spark). Publications or contributions to the field of Generative AI or prompt engineering. Familiarity with cloud computing platforms such as AWS, Google Cloud, or Azure. English only  What are we looking for? Junior profile with knowledge in Data Science Good knowledge in Generative AI (projects during internship for example) Fluent in English  What do we offer? Challenging projects based on your interests and skills Personal follow-up and clear, transparent communication both before and after commencement of employment Possibility to follow extra training Inspiring network events and legendary after work drinks Strong network of industry leading clients Expertise within IT, Engineering and Life Sciences A flying start for every junior, growth opportunities and possibility to share gathered knowledge for more senior employees Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Staffing and Recruiting, Pharmaceutical Manufacturing, and Data Infrastructure and Analytics Referrals increase your chances of interviewing at Pauwels Consulting by 2x See who you know"
Data Analyst,"Brussels, Brussels Region, Belgium",https://be.linkedin.com/jobs/view/data-analyst-at-nemeon-3909972849?position=3&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=HYjON5%2Bbwe2RDUgm3f8%2BsA%3D%3D&trk=public_jobs_jserp-result_search-card,"Direct message the job poster from Nemeon Mark Verheyden, Ph.D. Mark Verheyden, Ph.D. Founder at Nemeon Who we are  Nemeon is a data and AI consulting company that aims to solve real-world problems for SMBs and mid-market organizations. Our focus is the set-up of scalable and secure data platforms that allow for reporting (in Power BI for example) and AI applications. Our focus industries are logistics, construction & leisure.  Job requirements  What we are looking for in our experienced data analysts  Able to collect and organize data Translate business requirements into actionable questions The data analyst gets his/her high from finding patterns in data The ideal candidate combines technical skills with business thinking  The attitude we're looking for  ""Can do"" mentality Customer-oriented Growth mindset Teamplay  The hard skills you'll need  SQL Data visualization knowledge (Power BI, Tableau, Quicksight) Data modeling Translate business requirements into actionable questions  What we offer  A good salary (obviously 😊!) and a company car with fuel card and unlimited mileage Extra benefits: health insurance, group insurance, representation allowance A chance to shape a fast-moving company Learning tracks to develop yourself further Show less Seniority level Mid-Senior level Employment type Full-time Job function Analyst and Consulting Industries Information Technology & Services Referrals increase your chances of interviewing at Nemeon by 2x See who you know"
"(Junior) Data, Insights & Analytics Consultant","Kortrijk, Flemish Region, Belgium",https://be.linkedin.com/jobs/view/junior-data-insights-analytics-consultant-at-savaco-3921660776?position=4&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=K%2FIPSaBW6YN6Tx4npQzHzw%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you want to become an expert in Data Analytics? Within our Data Insights & Analytics unit, we strive to help our customers evolve into data-driven companies. Using our BI solutions, we want to present the right errors from their data so that they can make the right predictions to further develop their business. In other words, we translate their prevailing and practical field data so that they can complete them and develop strategies. The story of data is growing, and so are we... To expand our team, we are looking for a data enthusiast who wants to further specialize within the domain of data-driven details and analyses. What are you going to do? As a (Junior) Data, Insights & Analytics Consultant, you are ready to identify reporting needs within various companies and sectors. You develop a roadmap with a detailed and analytical approach, after you have of course been properly prepared by senior consultants. You design custom reports and dashboards. You also analyze the data and present it to customers to help them make strategic choices. You detect and structure the necessary data to develop a BI environment that meets the need for qualitative management reports. You will participate in projects for which you will be responsible for presenting data on the Data Analytics platform. You will work closely with colleagues from the Data Insights & Analytics team on both internal and external projects. You have a healthy interest in the evolution of the Microsoft Data & Analytics platform and take a leading role in this by attending training courses, webinars and conferences. Who are you? You have a higher education (Bachelor/Master) in Computer Science, Commercial Sciences, Economic Sciences, etc., with no to five years of experience in BI or data. You are a fluent speaker both in Dutch and English You have a strong interest in the domain of SQL development, data analyzes and BI tools. You are familiar with the concepts of a Data Warehouse. You are willing to delve deeper into Azure, SQL Server and Power BI or already have some experience in this. You are passionate about new technologies and are looking for a company that is an absolute technological pioneer. You can work autonomously, are analytical, dare to take initiative and like to take responsibility. You are a team player who works in a group to find the best solution. Our offer You will end up in a dynamic and growing business environment where you are challenged every day and where you come into contact with customers from very different sectors. In addition to variety, you will also find many training opportunities with us. With your personal training program you can update your technical knowledge and receive support in obtaining certificates. You will have the opportunity to further specialize in specific domains within Data Analytics & Visualization. Savaco is a financially profitable and growing company where correct entrepreneurship and professionalism are of paramount importance and where values of respect, collegiality and team spirit are important. In addition to an attractive salary with company car and numerous fringe benefits, we also pay attention to a good work-life balance with flexible hours, working from home and an accessible location. With our Sports and Party Committee we also provide a diverse range of sporting and fun activities for all our employees! Show less Seniority level Not Applicable Employment type Other Job function Research, Analyst, and Information Technology Industries IT Services and IT Consulting Referrals increase your chances of interviewing at Savaco by 2x See who you know"
Data Scientist,"Brussels, Brussels Region, Belgium",https://be.linkedin.com/jobs/view/data-scientist-at-european-dynamics-3929034005?position=5&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=HBD3QWDP8dkq5Hi9wBzPqQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Direct message the job poster from EUROPEAN DYNAMICS ELENA TRIMPOUNA ELENA TRIMPOUNA Talent Acquisition Specialist @ EUROPEAN DYNAMICS/MSc International Human Resource Management, University of Strathclyde We currently have a vacancy for a Data Scientist fluent in English, to offer his/her services as an expert who will be based in Brussels, Belgium. The work will be carried out either in the company's premises or on site at customer premises. In the context of the first assignment, the successful candidate will be integrated in the Development team of the company that will closely cooperate with a major client's IT team on site. Your tasks Collect business requirement and develop advanced data mining solutions or identify, assess and deploy relevant existing data mining, machine learning and business intelligence solutions; Specification and design of presentation interfaces with optimal usability/user experience; Identify, collect, convert and update different data types/sets in several locations (e.g. ETL); Produce data models according to specific problems statements; Scripting and programming; Contribute to the design and implementation of the analytics architecture and its solution stack (including performance aspects, physical design, capacity dimensions etc.).   Requirements  Master's degree in IT or relevant discipline, combined with minimum 13 years of relevant working experience in IT; Excellent knowledge of Data Analytics techniques and tools; Expertise in the ETL processes and tools (i.e. Talend Open Studio...); Experience with languages such us R, Python, PERL; Proficient in continuous code delivery and unit testing; Good knowledge of SQL tooling (NoSQL DB, MongoDB, Hadoop, SQL); Knowledge of architectural design and implementation of scalable modern data stores; Experience in developing R / Python functions to perform linear algebra calculations with data frames and arrays, ensuring efficient manipulation of data is an asset; Knowledge of R-Studio infrastructure as well as experience in developing interactive R / Python dashboards using packages like Shiny, Dash or similar is an asset; Experience in using the following libraries (or equivalents) is an asset: Data Management: Pandas (tidyverse and dplyr for R), Numpy; Data Visualizations: at least one among Matplotlib, Seaborn or Plotly (ggplot2 for R); Excellent command of the English language.   Benefits  If you are seeking a career in an exciting and dynamic company, where you will offer your services as part of a team of a major European Institution, operating in an international, multilingual and multicultural environment where you can expect real chances to make a difference, please send us your detailed CV in English, quoting reference: (17037/05/24). We offer a competitive remuneration (either on contract basis or remuneration with full benefits package), based on qualifications and experience. All applications will be treated as confidential. EUROPEAN DYNAMICS (www.eurodyn.com)is a leading Software, Information and Communication Technologies company, operating internationally (Athens, Brussels, Luxembourg, Copenhagen, Stockholm, London, Nicosia, Hong-Kong, Valetta, etc). The company employs over 600 engineers, IT experts and consultants (around 3% PhD, 36% MSc and 53% BSc or equivalent). We design and develop software applications using state-of-the-art technology. The group generates annual revenues in the range of EURO 40 million, with an EBITDA in the range of 20%. The value of our contract portfolio exceeds EURO 250 million. EUROPEAN DYNAMICS is a renowned supplier of IT services to government institutions, multinational corporations, public administrations and multinational companies, research and academic institutes. As part of our dedication to the diversity of our workforce, we are committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, disability, sexual orientation, gender identity, or religion. EUROPEAN DYNAMICS (ED) adheres to the General Data Protection Regulation principles by applying its Privacy Policy as published in www.eurodyn.com/privacy. By submitting an application to this position and by sharing your personal data with ED, you acknowledge and accept its Policy and authorise ED to process your personal data for the purposes of the company's recruitment opportunities, in line to the Policy. Furthermore, when providing your data, it is up to you to explicitly consent that your data can be assessed for future job openings, for as long as you do not withdraw such consent. If you do not consent, we will not be able to consider the data you provide to us for future job openings. Show less Seniority level Mid-Senior level Employment type Full-time Job function Engineering and Information Technology Industries Software Development Referrals increase your chances of interviewing at EUROPEAN DYNAMICS by 2x See who you know"
Internship ML Engineer,"Ghent, Flemish Region, Belgium",https://be.linkedin.com/jobs/view/internship-ml-engineer-at-otiv-3891678313?position=6&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=hqX7hX1tWdmp6s0NC9fCRA%3D%3D&trk=public_jobs_jserp-result_search-card,"Who We Are  OTIV is a Ghent-based company leading the autonomous revolution in rail. We are on a mission to increase safety and efficiency of railway operations by teaching rail vehicles to drive autonomously. By making trains more efficient and safer, we actively contribute to a modal shift and a greener future. We bring this vision to life by a unique focus on the most challenging environments such as cities, shunting yards and industrial sites. Thanks to high-profile partners and world-leading clients such as Deutsche Bahn, SNCF Group, ArcelorMittal and CAF we deliver the future of railway operations today.  OTIV is an equal opportunity employer. We are committed to a work environment that supports, inspires, and respects all individuals and in which personnel processes are merit-based and applied without discrimination on the basis of race, color, religion, sex, sexual orientation, gender identity, marital status, age, disability, national or ethnic origin, military service status, citizenship, or other protected characteristic. OTIV strives to create an environment in which all employees feel confident in their ability to bring their authentic selves to work and secure collaborating with colleagues and customers.  What You Will Do  As an ML engineering intern, you will research, train and validate neural networks operating on camera images or 3D point clouds. You will contribute to the main AI component of ADAS or fully self-driving systems. Since these models are trained on OTIV's own dataset, you will be responsible for maintaining the datasets used for training and validating models.  Research & selection of neural networks for a variety of tasks: object detection, rail detection, etc. Training & validation of the selected models Create, organize and take ownership of datasets used for training and validation Supervise third party annotation teams Closely collaborate with data engineers and robotics engineers   Requirements  Who you are  Master in computer engineering, AI or equivalent Strong coding skills in Python Proven ability to train and validate neural networks in Pytorch Experience in handling and maintaining large datasets Fluent in English (spoken & written) any other language is a plus Hands-on / self-driven mentality Enthusiasm for cutting-edge Demonstrate a proactive eagerness to learn   Benefits  International environment in a disruptive start-up with opportunities to grow Early riser or night owl? Either way, you'll fit right in our flexible working hours system An office in beautiful Ghent (Belgium) Collaborative, transparent, and fun-loving office culture Team events Show less Seniority level Internship Employment type Full-time Job function Engineering and Information Technology Industries Non-profit Organizations and Primary and Secondary Education Referrals increase your chances of interviewing at OTIV by 2x See who you know"
Management Trainee,"Auderghem, Belgium",https://be.linkedin.com/jobs/view/management-trainee-at-jde-peet-s-3890160162?position=7&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=R5iI%2F%2FtKqODBuX6MHpUz7g%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description  MANAGEMENT TRAINEESHIP – When you grow, we grow, coffee grows  The Management Traineeship is not a fully developed program. How can it be if it’s to be tailor-made? We believe you’re responsible for your own development. We’re just here … to help you!  At JDE, we believe that the combination of leadership capabilities, functional competencies, critical experiences and learning agility, with the right personality and attitude, lead to personal and professional development.  Apply for a 2-3 year Traineeship @ Jacobs Douwe Egberts!  A traineeship within JDE is a full-fledged starting position. It concerns a work and learning trajectory that prepares you in 2-3 years for a permanent position, depending on the opportunities within the organization. This traineeship should therefore not be confused with an internship. It is indeed the intention that you take up a position twice for 12-18 months in various domains such as Marketing, Sales (Away From Home segment and CPG segment) Finance etc...  During your traineeship you will receive all kinds of training that are important for your personal development. You will also be guided by your direct colleagues, manager, a mentor and HR.  You will have the opportunity to get to know our organization and to actively orient and develop yourself into the best version you can be!  Our commitment!  A company with a clear story  A qualitative, challenging and tailor-made program.  We offer a permanent contract with an attractive salary package including numerous fringe benefits (electric car, smartphone + subscription + data, internet, meal vouchers, group and hospitalization insurance, bonus opportunity, expense allowance...).  Qualifications  Who are we looking for?  In the context of diversity, equality and inclusion, we try to attract the broadest possible target group.  Are you a coffee and/or tea lover?  Did you obtain a bachelor/master's degree in 2023/2024? Or do you already have a bachelor/master's degree and a maximum of 2 years of work experience?  Do you speak Dutch/French and English fluently?  Do you want to be in control of your own growth and development?  Do you take a critical and innovative look at various tasks and processes?  Do you have the ambition to quickly take the next step in your career?  And do you want to further develop your personal leadership skills?  Then you might become one of our new management trainees!  We hear you think: I’m exactly what you are looking for! Where do I need to sign?  Whow-whow-whow, Hold Your Horses For Just One More Minute… 😊  We start with an initial screening based on a CV and motivation letter (via link below). If you are through to the next round, we invite you to take inductive, numerical and verbal reasoning tests. In case of positive results – please note, do these tests when you are well rested – we invite you for a meeting with HR and manager/board member. Afterwards? Simple, when everyone is as enthusiastic as you are, we draw up a contract!  Standout people making outstanding coffee!  Additional Information  FOR THE LOVE OF COFFEE AND TEA  For more than 265 years, JACOBS DOUWE EGBERTS (JDE) is inspired by its belief that it’s amazing what can happen over a cup of coffee or tea. We are fuelled by our purpose of unleashing the possibilities of coffee and tea to create a better future. Today, our coffee & tea portfolio is available in more than 100 developed and emerging markets, through a portfolio of over 50 brands that collectively cover the entire category landscape led by leading household names such as L’OR, Jacobs, Senseo, Tassimo, Douwe Egberts, Old Town, Super, Pickwick and Moccona.  JDE is part of JDE Peet’s, the world’s largest pure-play coffee and tea company, headquartered in The Netherlands.  What’s it like to work at JDE?  We are proud of our passionate, driven associates that challenge the status quo and pursue mastery in everything they do. Our goal is simple and ambitious – JDE: A coffee & tea for every cup.  At JDE, we're Made to Stand Out. Every day we are progressive in outlook, ambitious in nature, resourceful in action and decisive in approach, bringing coffee and tea moments to everyone around the world. Show less Seniority level Entry level Employment type Full-time Job function Other Industries Consumer Goods Referrals increase your chances of interviewing at JDE Peet's by 2x See who you know"
Data Scientist,"Brussels, Brussels Region, Belgium",https://be.linkedin.com/jobs/view/data-scientist-at-uni-systems-3901096873?position=8&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=9olp%2BS7cbjLLLAzX0hwdRQ%3D%3D&trk=public_jobs_jserp-result_search-card,"At Uni Systems, we are working towards turning digital visions into reality. We are continuously growing and we are looking for a Data Scientist to join our UniQue team.  What will you be doing in this role?  Interact with business stakeholders and with IT teams; Have strong participation in business and/or functional working groups, progress meetings and meetings with the stakeholders (IT and business); Collect business requirement and develop advanced data mining solutions or identify, assess and deploy relevant existing data mining, machine learning and business intelligence solutions; Execute specification and design of presentation interfaces with optimal usability/user experience; Identify, collect, convert and update different data types/sets in several locations (e.g. ETL); Produce data models according to specific problems statements; Perform scripting and programming; Contribute to the design and implementation of the analytics architecture and its solution stack (including performance aspects, physical design, capacity dimensions etc...); Write the different documentation associated with the tasks and liaise with other project teams as necessary to address cross-project interdependencies.  Requirements  What will you be bringing to the team?  Master Degree in IT or related field and 13 years of professional experience in IT. Excellent knowledge of Data Analytics techniques and tools. Experience with languages like R, Python, PERL. Proficient in continuous code delivery and unit testing. Expertise in the ETL processes and tools (i.e. Talend Open Studio...). Good knowledge of SQL tooling (NoSQL DB, MongoDB, Hadoop, SQL). Knowledge of architectural design and implementation of scalable modern data stores. Knowledge of R-Studio infrastructure is an asset. Experience in developing interactive R / Python dashboards using packages like Shiny, Dash or similar is an asset. Experience in developing R / Python functions to perform linear algebra calculations with data frames and arrays, ensuring efficient manipulation of data is an asset. Experience in using the following libraries (or equivalents) is an asset: Data Management: Pandas (tidyverse and dplyr for R), Numpy; OR Data Visualizations: at least one among Matplotlib, Seaborn or Plotly (ggplot2 for R). Fluent in English at least at a level B2.  Benefits  At Uni Systems, we are providing equal employment opportunities and banning any form of discrimination on grounds of gender, religion, race, color, nationality, disability, social class, political beliefs, age, marital status, sexual orientation or any other characteristics. Take a look at our Diversity, Equality & Inclusion Policy for more information. Show less Seniority level Mid-Senior level Employment type Full-time Job function Engineering and Information Technology Industries Technology, Information and Internet Referrals increase your chances of interviewing at Uni Systems by 2x See who you know"
Data Analyst,"Brussels, Brussels Region, Belgium",https://be.linkedin.com/jobs/view/data-analyst-at-talent-disruptors-3860722749?position=9&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=YrpscmnSUbg85H6ZFLkW5w%3D%3D&trk=public_jobs_jserp-result_search-card,"We are on the lookout for a Data Analyst with a specialization in marketing analytics. In this critical role, you will harness the power of tools like Google Data Studio, BigQuery, and Power BI to derive actionable insights that drive our marketing decisions. Your expertise in analyzing complex datasets and turning them into understandable and strategic information will be essential in shaping our marketing strategies. This position is ideal for someone who thrives on data-driven challenges and has a passion for leveraging technology to inform business decisions.  What You’ll Be Doing  Data Analysis and Interpretation: Utilize tools like Google Data Studio, BigQuery, and Power BI to analyze marketing data and extract meaningful insights. Developing Reporting Dashboards: Create dynamic dashboards and reports that provide real-time insights into marketing performance. Collaborating with Marketing Teams: Work closely with marketing teams to understand their data needs and provide insights that inform strategy and decision-making. Data Integration and Management: Integrate data from various sources to provide a comprehensive view of marketing performance. Performance Tracking: Monitor key performance indicators (KPIs) to measure the effectiveness of marketing campaigns and strategies. Predictive Analysis: Use data to predict trends and market movements, aiding in proactive strategy development. Training and Support: Provide training and support to team members in using data analysis tools and understanding reports.  Who You Are  Proficient in Data Analysis Tools: You have strong experience with tools such as Google Data Studio, BigQuery, and Power BI. Analytical and Insightful: You possess the ability to analyze complex datasets and turn them into actionable insights. Collaborative in Nature: You work well with marketing teams, understanding their needs and communicating data insights effectively. Skilled in Data Integration: You are adept at integrating and managing data from various sources. Detail-Oriented: You have a keen eye for detail and accuracy in data analysis and reporting. Proactive and Predictive: You are capable of conducting predictive analyses to inform future marketing strategies. Excellent Communicator: You can clearly convey data insights and their implications to non-technical team members.  What Success Looks Like  30 Days  Establish a comprehensive, organized online database in BigQuery to store all client and marketing data and integrate lead data from CRMs, digital advertising data, customer opt-ins, and purchasing data to provide meaningful insights that inform marketing decisions. Create and maintain data dashboards in Looker Studio for easy data visualization, analysis, and automated reporting.  60 Days  Develop statistical models for data analysis, including linear regression modeling and predictive lead scoring, that effectively guide marketing actions.  90 Days  Automated the generation of actionable insights and trends over time from data analysis to inform our marketing strategy. Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Staffing and Recruiting Referrals increase your chances of interviewing at Talent Disruptors by 2x See who you know"
Data Analyst,Brussels Metropolitan Area,https://be.linkedin.com/jobs/view/data-analyst-at-harvey-nash-3912939497?position=10&pageNum=0&refId=XC0%2Bc5SKco8YdZeY7%2FIjnA%3D%3D&trackingId=4Ua41ZAP1VO6Erk94WYocw%3D%3D&trk=public_jobs_jserp-result_search-card,"Direct message the job poster from Harvey Nash Tatiana Paiu Tatiana Paiu IT Lead Recruiter at Harvey Nash IT Consulting | Hiring Perfect Candidates for Perfect Clients | Headhunter We are looking for a CX Data Analyst for one of our clients in Brussels!  Your mission: Within the Customer eXperience (CX) program, we relentlessly work at experience improvements for our customers. We work with top of the edge tools based on big data, predictive models, machine learning, etc. As Data Analyst you’ll strengthen the team to detect with innovative methods and model’s new customer experience insights to consecutively launch improvement initiatives. You’ll be confronted with many challenges for which you’ll work closely together with CX, BI and big data experts to jointly reach tangible results. Your profile: You’re a creative entrepreneur? You’re passionate about data science and customer experience? You have a master’s degree in computer science or (applied) mathematics/statistics and have programming experience? Technical knowledge: o You have experience with statistical analysis techniques (multinominal confidence intervals and correlations, data reduction, clustering, segmentation, Bayesian algorithms, hierarchical regressions, machine learning). o You have experience with programming and validation of statistical models (Python/Scala, Jupiter notebook, GIT, Spark, SQL) o You have experience with visualisation tools (Power BI, Tableau, Superset) o You have knowledge about big data solutions and data mining (HDFS, Hadoop, Hive, Hbase, PySpark, Cloudera) Competences and attitude: o You have strong communication skills. You are a team player. o You take responsibility, work result driven and independently towards qualitative results. o You have a critical mind, continuously search for creative solutions and work methodically. o You are motivated and always willing to help.  Language: EN mandatory, NL/FR are an asset Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Telecommunications Referrals increase your chances of interviewing at Harvey Nash by 2x See who you know"
